Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Citizenship,Family Position,Attendance,Field of Study,Special Needs,Target
1,43,1,9500.0,1.0,1.0,170.0,1,19,37,8.0,8.0,100.0,0,0,0,1,0,0,20,0.0,0,7.0,8,6.0,13.25,0.0,0.0,8.0,8.0,8,13.75,0,13.9,-0.3,0.79,Barcelona,Youngest Child,Part-Time,Medicine,Special Needs,Enrolled
1,17,1,171.0,1.0,1.0,144.0,1,37,37,9.0,6.0,129.3,1,0,0,1,1,1,18,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,7.6,2.6,0.32,Barcelona,Middle Child,Part-Time,Arts,No Special Needs,Enrolled
1,17,4,9500.0,1.0,1.0,136.0,1,3,3,2.0,2.0,132.5,1,0,0,1,0,0,19,0.0,0,7.0,8,7.0,13.198571428571428,0.0,0.0,8.0,8.0,8,13.0625,0,11.1,0.6,2.02,,Middle Child,Online,Arts,No Special Needs,Graduate
1,18,1,9130.0,1.0,1.0,146.0,1,3,3,5.0,2.0,137.8,0,0,0,1,1,0,18,0.0,0,6.0,11,5.0,13.6,0.0,0.0,6.0,13.0,3,12.666666666666666,0,13.9,-0.3,0.79,Edinburgh,First Child,Online,Commerce,Special Needs,Dropout
1,1,1,9070.0,1.0,1.0,,1,12,19,4.0,5.0,118.5,0,1,0,1,0,1,18,0.0,0,6.0,6,6.0,12.0,,0.0,6.0,8.0,6,11.285714285714286,0,8.9,1.4,3.51,Helsinki,,Part-Time,Science,,Graduate
5,7,1,9500.0,1.0,40.0,,1,37,37,4.0,9.0,150.0,0,0,0,1,0,0,29,0.0,1,8.0,11,7.0,13.742857142857144,,1.0,8.0,11.0,7,13.742857142857144,0,12.7,3.7,-1.7,Bucharest,,Full-Time,Science,,Graduate
1,17,3,9500.0,1.0,1.0,133.0,1,38,19,9.0,8.0,128.8,1,0,0,1,1,0,18,0.0,0,7.0,8,7.0,11.8375,0.0,0.0,8.0,9.0,8,12.48125,0,13.9,-0.3,0.79,Copenhagen,First Child,Evening Classes,Science,Special Needs,Graduate
1,17,4,9500.0,1.0,1.0,146.0,1,4,1,2.0,3.0,140.0,1,0,0,1,0,0,18,0.0,0,8.0,8,7.0,14.828571428571427,0.0,0.0,8.0,8.0,7,14.828571428571427,0,12.7,3.7,-1.7,Dublin,First Child,Full-Time,Engineering,No Special Needs,Graduate
4,39,1,8014.0,0.0,19.0,140.0,1,37,37,9.0,3.0,131.0,0,0,0,1,0,1,29,0.0,0,6.0,11,4.0,11.75,0.0,0.0,6.0,9.0,5,10.4,0,10.8,1.4,1.74,London,First Child,Evening Classes,Arts,Special Needs,Graduate
1,39,1,9003.0,1.0,1.0,,1,1,1,9.0,4.0,120.0,0,0,1,0,1,0,27,0.0,0,6.0,0,0.0,0.0,,0.0,6.0,0.0,0,0.0,0,13.9,-0.3,0.79,Dublin,,Online,Medicine,,Dropout
2,39,1,33.0,1.0,1.0,120.0,1,38,1,9.0,5.0,153.8,0,0,1,1,1,0,35,0.0,0,7.0,9,0.0,0.0,0.0,0.0,7.0,8.0,0,0.0,0,11.1,0.6,2.02,Kyiv,Youngest Child,Online,Medicine,No Special Needs,Dropout
1,39,1,9991.0,0.0,1.0,120.0,1,38,38,5.0,7.0,146.2,0,0,0,1,0,0,27,0.0,0,5.0,10,3.0,12.333333333333334,0.0,0.0,5.0,10.0,3,10.666666666666666,0,11.1,0.6,2.02,Munich,Middle Child,Full-Time,Commerce,Special Needs,Graduate
2,39,1,9991.0,0.0,1.0,150.0,1,37,37,9.0,7.0,122.5,0,0,0,1,1,0,47,0.0,0,5.0,9,4.0,11.5,0.0,0.0,5.0,6.0,5,11.6,1,7.6,2.6,0.32,Athens,Youngest Child,Full-Time,Engineering,Special Needs,Dropout
1,1,1,9773.0,1.0,1.0,125.0,1,3,19,2.0,3.0,125.7,1,0,0,1,0,0,19,0.0,0,6.0,6,6.0,13.0,0.0,0.0,6.0,7.0,6,11.666666666666666,0,8.9,1.4,3.51,Paris,Youngest Child,Online,Engineering,Special Needs,Graduate
6,17,3,8014.0,0.0,1.0,,1,19,1,5.0,90.0,115.0,0,0,0,0,0,0,24,0.0,0,5.0,5,0.0,0.0,,0.0,5.0,10.0,0,0.0,0,10.8,1.4,1.74,Saint Petersburg,,Evening Classes,Medicine,,Dropout
1,1,1,9147.0,1.0,1.0,,1,1,19,5.0,7.0,130.5,1,0,0,1,0,1,21,0.0,0,5.0,6,5.0,12.8,,0.0,5.0,7.0,4,11.25,0,9.4,-0.8,-3.12,Vienna,,Part-Time,Arts,,Graduate
1,1,6,9500.0,1.0,1.0,,1,19,1,9.0,10.0,126.8,1,0,0,1,0,0,18,0.0,0,8.0,8,7.0,12.944285714285714,,0.0,8.0,8.0,7,12.944285714285714,0,10.8,1.4,1.74,Paris,,Online,Commerce,,Graduate
1,39,1,9500.0,1.0,1.0,,1,37,37,9.0,9.0,130.0,0,0,1,0,0,0,32,0.0,0,7.0,12,4.0,13.7,,0.0,7.0,7.0,0,0.0,0,16.2,0.3,-0.92,Edinburgh,,Part-Time,Engineering,,Dropout
1,1,2,8014.0,0.0,1.0,107.0,1,19,11,0.0,0.0,103.5,1,0,0,1,0,0,22,0.0,0,6.0,7,5.0,13.4,0.0,0.0,6.0,9.0,5,12.2,0,7.6,2.6,0.32,Madrid,Middle Child,Evening Classes,Medicine,No Special Needs,Graduate
1,1,1,9238.0,1.0,1.0,133.0,1,34,37,4.0,9.0,134.4,1,0,0,1,0,1,18,0.0,0,6.0,6,6.0,12.166666666666666,0.0,0.0,6.0,9.0,6,13.666666666666666,0,9.4,-0.8,-3.12,Oslo,Middle Child,Part-Time,Medicine,Special Needs,Graduate
2,39,1,9085.0,1.0,1.0,,1,37,37,90.0,90.0,110.3,0,0,0,1,1,0,33,0.0,0,5.0,7,4.0,13.5,,0.0,5.0,6.0,5,11.6,0,7.6,2.6,0.32,Athens,,Full-Time,Medicine,,Graduate
1,17,5,9119.0,1.0,1.0,,1,3,1,2.0,9.0,116.0,1,0,1,0,1,0,20,0.0,0,5.0,5,0.0,0.0,,0.0,5.0,5.0,0,0.0,0,8.9,1.4,3.51,Paris,,Online,Engineering,,Dropout
1,1,2,9500.0,1.0,1.0,142.0,1,37,37,9.0,7.0,132.7,1,0,0,1,0,1,19,0.0,0,7.0,8,7.0,14.7875,0.0,0.0,8.0,8.0,8,15.8625,0,13.9,-0.3,0.79,Warsaw,Youngest Child,Online,Science,No Special Needs,Graduate
1,44,1,9003.0,1.0,39.0,150.0,1,37,38,4.0,8.0,150.0,0,0,0,1,0,1,21,0.0,0,6.0,9,6.0,12.666666666666666,0.0,0.0,6.0,8.0,5,12.8,0,13.9,-0.3,0.79,Paris,Middle Child,Full-Time,Medicine,Special Needs,Graduate
1,53,1,9147.0,1.0,42.0,130.0,1,1,19,143.0,172.0,133.8,1,0,0,1,0,0,21,0.0,6,11.0,17,11.0,11.545454545454543,0.0,3.0,9.0,13.0,8,12.88888888888889,0,8.9,1.4,3.51,,First Child,Evening Classes,Commerce,Special Needs,Graduate
2,39,2,9556.0,1.0,1.0,133.1,105,1,3,9.0,2.0,152.8,1,0,0,1,0,0,28,1.0,0,7.0,9,7.0,12.428571428571429,0.0,0.0,8.0,8.0,8,12.3,0,12.4,0.5,1.79,Vienna,Middle Child,Online,Science,No Special Needs,Enrolled
1,17,1,9991.0,0.0,1.0,160.0,1,34,34,0.0,0.0,161.8,1,0,1,1,1,0,33,0.0,0,5.0,8,2.0,10.5,0.0,0.0,5.0,5.0,0,0.0,0,7.6,2.6,0.32,Munich,Middle Child,Evening Classes,Arts,Special Needs,Dropout
1,44,1,9003.0,1.0,39.0,130.0,1,38,38,9.0,5.0,130.0,0,0,1,0,1,0,20,0.0,0,6.0,16,4.0,11.8,0.0,0.0,6.0,15.0,2,12.0,0,16.2,0.3,-0.92,Berlin,Middle Child,Online,Science,Special Needs,Dropout
2,43,1,9070.0,1.0,2.0,,1,37,37,6.0,6.0,140.0,1,0,0,1,1,0,38,0.0,14,18.0,18,18.0,14.5,,13.0,18.0,18.0,18,14.5,0,16.2,0.3,-0.92,Rome,,Evening Classes,Engineering,,Graduate
1,17,5,,1.0,1.0,134.0,1,1,19,9.0,5.0,121.8,1,0,0,1,1,0,19,0.0,0,,6,6.0,,0.0,,6.0,8.0,6,12.428571428571429,0,16.2,0.3,-0.92,Madrid,First Child,Evening Classes,Medicine,No Special Needs,Graduate
1,1,1,9670.0,1.0,1.0,115.0,1,19,37,9.0,9.0,114.3,0,0,0,1,1,0,18,0.0,0,6.0,7,4.0,12.6,0.0,0.0,6.0,6.0,4,13.0,0,12.4,0.5,1.79,Prague,First Child,Online,Commerce,Special Needs,Dropout
2,7,1,9147.0,1.0,3.0,130.0,1,1,4,3.0,10.0,130.0,0,0,0,1,0,0,45,0.0,0,5.0,6,5.0,11.0,0.0,0.0,5.0,5.0,5,13.8,0,12.4,0.5,1.79,Copenhagen,Youngest Child,Part-Time,Science,Special Needs,Graduate
2,39,1,171.0,1.0,12.0,110.0,1,37,37,7.0,7.0,106.0,1,0,0,1,1,0,36,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,7.6,2.6,0.32,Stockholm,Middle Child,Part-Time,Medicine,Special Needs,Graduate
1,1,1,9254.0,1.0,1.0,,1,19,19,9.0,3.0,130.0,0,0,0,1,1,0,21,0.0,0,6.0,8,6.0,12.571428571428571,,0.0,6.0,10.0,4,13.0,0,12.7,3.7,-1.7,Venice,,Evening Classes,Arts,,Enrolled
1,43,1,9991.0,0.0,1.0,133.1,41,37,37,9.0,8.0,114.7,0,0,0,1,0,0,34,1.0,2,2.0,2,2.0,10.5,0.0,1.0,1.0,1.0,1,11.0,0,10.8,1.4,1.74,Helsinki,First Child,Part-Time,Commerce,No Special Needs,Dropout
1,17,1,9085.0,1.0,1.0,142.0,1,3,19,5.0,5.0,130.8,1,0,0,1,0,0,18,0.0,0,5.0,9,3.0,13.666666666666666,1.0,0.0,5.0,5.0,5,12.0,0,12.7,3.7,-1.7,Bucharest,Youngest Child,Part-Time,Science,No Special Needs,Graduate
1,1,1,9147.0,1.0,1.0,,1,19,19,7.0,3.0,120.0,1,0,0,1,1,0,21,0.0,0,5.0,8,3.0,10.0,,0.0,5.0,10.0,4,11.0,0,12.7,3.7,-1.7,Zurich,,Full-Time,Engineering,,Dropout
1,1,1,9670.0,1.0,1.0,,1,1,38,3.0,9.0,109.3,0,0,1,0,0,1,19,0.0,0,6.0,7,5.0,12.0,,0.0,6.0,9.0,4,12.5,0,12.4,0.5,1.79,Istanbul,,Online,Engineering,,Dropout
1,17,1,9238.0,1.0,1.0,,1,1,1,4.0,10.0,129.3,0,0,0,1,0,0,19,0.0,4,8.0,8,8.0,13.875,,1.0,6.0,8.0,5,14.0,0,11.1,0.6,2.02,Warsaw,,Full-Time,Science,,Graduate
1,39,1,9003.0,1.0,1.0,,1,19,37,9.0,6.0,120.0,0,0,1,0,1,0,31,0.0,0,6.0,15,1.0,11.0,,0.0,6.0,10.0,0,0.0,0,16.2,0.3,-0.92,Dublin,,Part-Time,Engineering,,Dropout
1,43,6,9238.0,1.0,1.0,129.0,1,34,34,0.0,0.0,125.2,0,0,0,1,0,1,23,0.0,15,16.0,18,16.0,13.0,0.0,11.0,13.0,15.0,13,13.266666666666667,0,9.4,-0.8,-3.12,Venice,Youngest Child,Evening Classes,Arts,Special Needs,Graduate
1,1,1,9773.0,1.0,1.0,136.0,1,19,19,4.0,3.0,126.2,0,0,0,1,0,0,19,0.0,0,6.0,6,6.0,13.166666666666666,0.0,0.0,6.0,6.0,6,15.0,0,16.2,0.3,-0.92,Venice,Youngest Child,Evening Classes,Medicine,No Special Needs,Graduate
1,39,1,9085.0,1.0,1.0,133.1,1,1,1,4.0,4.0,120.0,0,0,1,0,1,0,31,0.0,0,5.0,13,4.0,13.5,1.0,0.0,5.0,12.0,3,11.666666666666666,1,9.4,-0.8,-3.12,Oslo,First Child,Full-Time,Engineering,No Special Needs,Dropout
1,1,3,9238.0,1.0,1.0,,62,1,1,9.0,9.0,129.3,0,0,0,1,0,1,21,1.0,0,6.0,8,6.0,13.875,,0.0,6.0,7.0,6,14.142857142857142,0,16.2,0.3,-0.92,Istanbul,,Evening Classes,Commerce,,Graduate
1,1,1,9238.0,1.0,1.0,168.0,1,37,37,9.0,9.0,149.5,0,0,0,1,0,0,18,0.0,0,6.0,10,6.0,17.0,0.0,0.0,6.0,11.0,6,16.0,0,12.4,0.5,1.79,Vienna,First Child,Online,Science,Special Needs,Graduate
1,39,1,9130.0,1.0,1.0,,1,1,38,9.0,9.0,150.0,0,0,0,1,1,0,25,0.0,0,6.0,6,0.0,0.0,,0.0,6.0,6.0,0,0.0,0,12.4,0.5,1.79,Warsaw,,Online,Science,,Dropout
1,44,1,8014.0,0.0,39.0,,1,37,38,6.0,6.0,130.0,1,0,0,1,0,0,23,0.0,5,9.0,10,9.0,10.88888888888889,,3.0,8.0,10.0,6,11.333333333333334,0,11.1,0.6,2.02,Dublin,,Evening Classes,Arts,,Graduate
1,17,1,9670.0,1.0,1.0,125.0,1,38,37,7.0,5.0,126.4,0,0,0,1,1,1,18,0.0,0,6.0,7,6.0,12.285714285714286,0.0,0.0,6.0,7.0,6,13.333333333333334,1,16.2,0.3,-0.92,Athens,First Child,Part-Time,Engineering,No Special Needs,Graduate
1,42,1,9085.0,1.0,1.0,,1,1,9,4.0,4.0,128.2,0,0,0,1,0,0,24,0.0,5,11.0,29,9.0,12.0,,4.0,10.0,21.0,9,12.555555555555555,0,9.4,-0.8,-3.12,London,,Online,Science,,Graduate
1,17,2,9853.0,1.0,1.0,,1,37,37,5.0,6.0,132.5,1,0,0,1,0,0,22,0.0,0,6.0,9,4.0,12.25,,0.0,6.0,8.0,5,11.6,0,10.8,1.4,1.74,Helsinki,,Evening Classes,Arts,,Enrolled
1,1,1,9147.0,1.0,1.0,127.0,1,19,19,5.0,5.0,129.8,1,0,0,1,0,0,22,0.0,0,5.0,8,3.0,10.333333333333334,0.0,0.0,5.0,11.0,2,10.0,0,7.6,2.6,0.32,Oslo,First Child,Part-Time,Arts,No Special Needs,Dropout
1,1,1,9238.0,1.0,1.0,,1,19,38,5.0,8.0,133.5,0,0,0,1,0,1,19,0.0,0,6.0,6,6.0,15.0,,0.0,6.0,6.0,6,13.333333333333334,0,8.9,1.4,3.51,Paris,,Full-Time,Engineering,,Graduate
