Unnamed: 0,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Citizenship,Family Position,Attendance,Field of Study,Special Needs
4349,1,1,5,9500.0,1.0,1.0,141.0,1,38,19,9.0,6.0,126.3,1,0,0,1,0,0,20,0.0,0,8.0,12,7.0,12.471428571428572,0.0,0.0,8.0,12.0,7,12.471428571428572,0,12.7,3.7,-1.7,Graduate,Sofia,Youngest Child,Evening Classes,Engineering,No Special Needs
1517,1,17,1,171.0,1.0,1.0,,1,19,1,4.0,1.0,131.9,1,0,0,1,1,0,19,0.0,6,12.0,12,12.0,13.583333333333334,,4.0,11.0,12.0,11,13.583333333333334,0,8.9,1.4,3.51,Graduate,Helsinki,,Online,Commerce,
360,1,17,4,9853.0,1.0,1.0,140.0,1,19,38,4.0,1.0,128.5,1,0,0,1,0,0,18,0.0,0,6.0,7,6.0,11.666666666666666,0.0,0.0,6.0,10.0,6,11.833333333333334,0,10.8,1.4,1.74,Graduate,Vienna,First Child,Part-Time,Engineering,No Special Needs
3655,1,44,1,9238.0,1.0,39.0,,1,1,1,3.0,5.0,141.7,0,0,0,1,0,1,20,0.0,3,6.0,6,6.0,12.833333333333334,,2.0,6.0,6.0,6,12.833333333333334,0,13.9,-0.3,0.79,Graduate,Amsterdam,,Evening Classes,Commerce,
2303,1,18,5,9119.0,1.0,1.0,136.0,1,3,2,2.0,3.0,125.2,1,0,0,1,1,0,19,0.0,0,5.0,9,5.0,11.833333333333334,0.0,0.0,5.0,9.0,5,14.714285714285714,0,12.4,0.5,1.79,Enrolled,Prague,First Child,Online,Medicine,No Special Needs
643,1,1,3,9500.0,1.0,1.0,,1,37,38,7.0,7.0,133.8,1,0,0,1,0,0,18,0.0,0,8.0,8,8.0,14.26875,,0.0,8.0,8.0,8,14.26875,0,9.4,-0.8,-3.12,Enrolled,Rome,,Part-Time,Arts,
1478,2,39,1,9003.0,1.0,1.0,133.1,1,1,19,4.0,4.0,120.0,0,0,1,0,1,0,25,0.0,0,6.0,17,2.0,14.5,2.0,0.0,6.0,13.0,0,0.0,1,15.5,2.8,-4.06,Dropout,Kyiv,Youngest Child,Part-Time,Engineering,Special Needs
1352,1,1,2,9070.0,1.0,1.0,145.0,1,1,19,4.0,3.0,133.5,0,0,0,1,0,0,19,0.0,0,6.0,6,6.0,12.166666666666666,0.0,0.0,6.0,6.0,6,11.333333333333334,0,12.7,3.7,-1.7,Graduate,Vienna,Youngest Child,Evening Classes,Commerce,No Special Needs
2223,1,17,1,171.0,1.0,1.0,,1,38,37,4.0,6.0,128.0,0,0,0,0,1,0,20,0.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Madrid,,Online,Commerce,
3751,1,1,1,9070.0,1.0,1.0,148.0,1,3,1,2.0,10.0,148.0,1,0,0,1,0,0,20,0.0,7,12.0,12,10.0,14.7,0.0,8.0,12.0,12.0,12,14.583333333333334,0,15.5,2.8,-4.06,Graduate,Istanbul,Youngest Child,Evening Classes,Medicine,No Special Needs
